URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2025/2025_01_01_00_50_09_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64		48	188 GB	6.1.119-129.201.amzn2023.x86_64	Amazon Linux 2023.6.20241212	11.4.1	1	0	0	0	2025-01-01 00:50:09
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Average	Average diff %	Median	Median diff %	Instruction count	Memory usage
micro_bench.php	10	50	0	PHP - previous master	209e0d6ad2	https://github.com/php/php-src/commit/209e0d6ad2	1.26900	1.29010	0.00427	1.27997	-5.40	1.28002	-5.46	0	20.33
micro_bench.php	10	50	0	PHP - master	025cc6f603	https://github.com/php/php-src/commit/025cc6f603	1.24842	1.27467	0.00550	1.26228	-6.71	1.26219	-6.77	0	20.33
micro_bench.php	10	50	0	PHP - master (JIT)	025cc6f603	https://github.com/php/php-src/commit/025cc6f603	0.53867	0.56380	0.00596	0.55270	-59.15	0.55356	-59.11	0	21.67

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2025/2025_01_06_00_49_36_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64		48	188 GB	6.1.119-129.201.amzn2023.x86_64	Amazon Linux 2023.6.20241212	11.4.1	1	0	0	0	2025-01-06 00:49:36
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Average	Average diff %	Median	Median diff %	Instruction count	Memory usage
Laravel 11.1.2 demo app	50	50	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.43861	0.44036	0.00041	0.43938	0.00	0.43930	0.00	0	41.82
Laravel 11.1.2 demo app	50	50	100	PHP - previous master	025cc6f603	https://github.com/php/php-src/commit/025cc6f603	0.43611	0.43827	0.00046	0.43687	-0.57	0.43677	-0.58	0	41.70
Laravel 11.1.2 demo app	50	50	100	PHP - master	e4ad271073	https://github.com/php/php-src/commit/e4ad271073	0.43532	0.43733	0.00044	0.43604	-0.76	0.43604	-0.74	0	41.70
Laravel 11.1.2 demo app	50	50	100	PHP - master (JIT)	e4ad271073	https://github.com/php/php-src/commit/e4ad271073	0.42482	0.42648	0.00034	0.42550	-3.16	0.42545	-3.15	0	50.75
Symfony 2.6.0 demo app	50	50	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.71298	0.71614	0.00072	0.71421	0.00	0.71409	0.00	0	37.33
Symfony 2.6.0 demo app	50	50	100	PHP - previous master	025cc6f603	https://github.com/php/php-src/commit/025cc6f603	0.71027	0.71354	0.00078	0.71124	-0.42	0.71101	-0.43	0	37.39
